Date,Date,Currency,Currency Pair,Buying,Selling,Mid Rate
2007-07-09,2007-07-09,US Dollar,USDGHS,0.9216,0.9315,0.9266
2007-07-10,2007-07-10,US Dollar,USDGHS,0.9216,0.9315,0.9266
2007-07-11,2007-07-11,US Dollar,USDGHS,0.9216,0.9315,0.9266
2007-07-12,2007-07-12,US Dollar,USDGHS,0.9218,0.9317,0.9268
2007-07-13,2007-07-13,US Dollar,USDGHS,0.9218,0.9317,0.9268
2007-07-16,2007-07-16,US Dollar,USDGHS,0.9218,0.9317,0.9268
2007-07-17,2007-07-17,US Dollar,USDGHS,0.9218,0.9317,0.9268
2007-07-18,2007-07-18,US Dollar,USDGHS,0.922,0.9319,0.927
2007-07-19,2007-07-19,US Dollar,USDGHS,0.9221,0.932,0.9271
2007-07-20,2007-07-20,US Dollar,USDGHS,0.9221,0.932,0.9271
2007-07-23,2007-07-23,US Dollar,USDGHS,0.9221,0.932,0.9271
2007-07-24,2007-07-24,US Dollar,USDGHS,0.9221,0.932,0.9271
2007-07-25,2007-07-25,US Dollar,USDGHS,0.9221,0.9326,0.9274
2007-07-26,2007-07-26,US Dollar,USDGHS,0.9221,0.9326,0.9274
2007-07-27,2007-07-27,US Dollar,USDGHS,0.923,0.9345,0.9288
2007-07-30,2007-07-30,US Dollar,USDGHS,0.923,0.9245,0.9238
2007-07-31,2007-07-31,US Dollar,USDGHS,0.923,0.9345,0.9288
2007-08-01,2007-08-01,US Dollar,USDGHS,0.923,0.9345,0.9288
2007-08-02,2007-08-02,US Dollar,USDGHS,0.923,0.9345,0.9288
2007-08-03,2007-08-03,US Dollar,USDGHS,0.923,0.9348,0.9289
2007-08-06,2007-08-06,US Dollar,USDGHS,0.923,0.9348,0.9289
2007-08-07,2007-08-07,US Dollar,USDGHS,0.9284,0.9348,0.9316
2007-08-08,2007-08-08,US Dollar,USDGHS,0.9234,0.9355,0.9295
2007-08-09,2007-08-09,US Dollar,USDGHS,0.9234,0.9355,0.9295
2007-08-10,2007-08-10,US Dollar,USDGHS,0.9232,0.9344,0.9288
2007-08-13,2007-08-13,US Dollar,USDGHS,0.9235,0.9351,0.9293
2007-08-14,2007-08-14,US Dollar,USDGHS,0.9235,0.9351,0.9293
2007-08-15,2007-08-15,US Dollar,USDGHS,0.9235,0.9347,0.9291
2007-08-16,2007-08-16,US Dollar,USDGHS,0.9235,0.9347,0.9291
2007-08-17,2007-08-17,US Dollar,USDGHS,0.9235,0.9347,0.9291
2007-08-20,2007-08-20,US Dollar,USDGHS,0.9236,0.9359,0.9298
2007-08-21,2007-08-21,US Dollar,USDGHS,0.9236,0.9359,0.9298
2007-08-22,2007-08-22,US Dollar,USDGHS,0.9238,0.9359,0.9299
2007-08-23,2007-08-23,US Dollar,USDGHS,0.9238,0.936,0.9299
2007-08-24,2007-08-24,US Dollar,USDGHS,0.9238,0.936,0.9299
2007-08-27,2007-08-27,US Dollar,USDGHS,0.9238,0.9361,0.93
2007-08-28,2007-08-28,US Dollar,USDGHS,0.9238,0.9361,0.93
2007-08-29,2007-08-29,US Dollar,USDGHS,0.9247,0.9366,0.9307
2007-08-30,2007-08-30,US Dollar,USDGHS,0.9248,0.9366,0.9307
2007-08-31,2007-08-31,US Dollar,USDGHS,0.9248,0.9366,0.9307
2007-09-03,2007-09-03,US Dollar,USDGHS,0.9248,0.9366,0.9307
2007-09-04,2007-09-04,US Dollar,USDGHS,0.927,0.937,0.932
2007-09-05,2007-09-05,US Dollar,USDGHS,0.9253,0.937,0.9312
2007-09-06,2007-09-06,US Dollar,USDGHS,0.9257,0.9376,0.9317
2007-09-07,2007-09-07,US Dollar,USDGHS,0.9267,0.9378,0.9323
2007-09-10,2007-09-10,US Dollar,USDGHS,0.926,0.9379,0.932
2007-09-11,2007-09-11,US Dollar,USDGHS,0.9289,0.9419,0.9354
2007-09-12,2007-09-12,US Dollar,USDGHS,0.9292,0.9423,0.9358
2007-09-13,2007-09-13,US Dollar,USDGHS,0.9292,0.9423,0.9358
2007-09-14,2007-09-14,US Dollar,USDGHS,0.9293,0.9423,0.9358
2007-09-17,2007-09-17,US Dollar,USDGHS,0.9293,0.9423,0.9358
2007-09-18,2007-09-18,US Dollar,USDGHS,0.9296,0.9456,0.9376
2007-09-19,2007-09-19,US Dollar,USDGHS,0.9312,1.3212,1.1262
2007-09-20,2007-09-20,US Dollar,USDGHS,0.9312,1.3212,1.1262
2007-09-21,2007-09-21,US Dollar,USDGHS,0.9316,0.9455,0.9386
2007-09-24,2007-09-24,US Dollar,USDGHS,0.9299,0.9435,0.9367
2007-09-25,2007-09-25,US Dollar,USDGHS,0.9299,0.9435,0.9367
2007-09-26,2007-09-26,US Dollar,USDGHS,0.9304,0.9435,0.937
2007-09-27,2007-09-27,US Dollar,USDGHS,0.9304,0.9435,0.937
