"Date","Currency","Currency Pair","Buying","Selling","Mid Rate"
"28 Oct 2022","US Dollar","USDGHS","13.0026","13.0156","13.0091"
"27 Oct 2022","US Dollar","USDGHS","13.0028","13.0158","13.0093"
"26 Oct 2022","US Dollar","USDGHS","13.0018","13.0148","13.0083"
"25 Oct 2022","US Dollar","USDGHS","13.0020","13.0150","13.0085"
"24 Oct 2022","US Dollar","USDGHS","12.5274","12.5400","12.5337"
"21 Oct 2022","US Dollar","USDGHS","12.5244","12.5370","12.5307"
"20 Oct 2022","US Dollar","USDGHS","12.5823","12.5949","12.5886"
"19 Oct 2022","US Dollar","USDGHS","11.3076","11.3190","11.3133"
"18 Oct 2022","US Dollar","USDGHS","10.8655","10.8763","10.8709"
"17 Oct 2022","US Dollar","USDGHS","10.8655","10.8763","10.8709"
"14 Oct 2022","US Dollar","USDGHS","10.7115","10.7223","10.7169"
"13 Oct 2022","US Dollar","USDGHS","10.7061","10.7169","10.7115"
"12 Oct 2022","US Dollar","USDGHS","9.7871","9.7969","9.7920"
"11 Oct 2022","US Dollar","USDGHS","9.7176","9.7274","9.7225"
"10 Oct 2022","US Dollar","USDGHS","9.6427","9.6523","9.6475"
"07 Oct 2022","US Dollar","USDGHS","9.6327","9.6423","9.6375"
"06 Oct 2022","US Dollar","USDGHS","9.6302","9.6398","9.6350"
"05 Oct 2022","US Dollar","USDGHS","9.6302","9.6398","9.6350"
"04 Oct 2022","US Dollar","USDGHS","9.6302","9.6398","9.6350"
"03 Oct 2022","US Dollar","USDGHS","9.6200","9.6296","9.6248"
"30 Sep 2022","US Dollar","USDGHS","9.6000","9.6096","9.6048"
"29 Sep 2022","US Dollar","USDGHS","9.5537","9.5633","9.5585"
"28 Sep 2022","US Dollar","USDGHS","9.5435","9.5531","9.5483"
"27 Sep 2022","US Dollar","USDGHS","9.5385","9.5481","9.5433"
"26 Sep 2022","US Dollar","USDGHS","9.5365","9.5461","9.5413"
"23 Sep 2022","US Dollar","USDGHS","9.5366","9.5462","9.5414"
"22 Sep 2022","US Dollar","USDGHS","9.2367","9.2459","9.2413"
"20 Sep 2022","US Dollar","USDGHS","9.0355","9.0445","9.0400"
"19 Sep 2022","US Dollar","USDGHS","9.0055","9.0145","9.0100"
"16 Sep 2022","US Dollar","USDGHS","8.2856","8.2938","8.2897"
"15 Sep 2022","US Dollar","USDGHS","8.2756","8.2838","8.2797"
"14 Sep 2022","US Dollar","USDGHS","8.2656","8.2738","8.2697"
